User Code,Video Code,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max,total_survey,total_I/N,captivation,cap_I/N,dissociation,dis_I/N,comprehension,com_I/N,transportation,tra_I/N
8,3,258.1136364,208.1800356,67,117,200,316,1516,25.12883436,14.8083362,17,17,17,33,100,2.85620915,1.205351557,0,2,3,4,6,5.379084967,2.729002459,0,4,5,7,13,267.2099369,257.6410027,23.25538958,105.1667434,194.1159544,326.9674384,1523.760587,7.997776899,7.762969034,0.395341623,1.894352994,4.613416686,12.56038868,35.88462984,-0.10238219,0.598339663,-2.125617484,-0.485617484,-0.090617484,0.359382516,0.999382516,3.4,0,2.875,0,3.5,0,6,1,1.5,0
9,3,286.6912929,212.0899834,67,150,217,350,1516,32.07166667,17.8167222,17,17,33,33,200,3.168831169,0.927468935,1,3,3,4,5,3.954545455,1.869398943,0,3,4,5,10,236.7309885,148.4069366,74.92581317,150.1382989,200.4377169,273.2184874,1444.044585,8.452775367,6.628839057,1.4070195,4.114119002,6.439780891,10.30442587,39.04861236,0.025509096,0.483890076,-1.620659735,-0.309409735,0.061840265,0.370590265,0.889340265,3.266666667,0,3.125,0,4,0,4.333333333,0,1.5,0
10,3,424.7724138,743.2889898,67,117,241.5,412,7795,24.21135647,13.84155877,17,17,17,33,100,2.638709677,1.323532615,1,2,2,4,6,4.135483871,3.750458707,0,1,3,7,14,247.8660225,149.0422241,38.50244671,144.7471535,237.0468877,308.6917359,983.7314043,9.706528829,7.837902552,0.654541594,2.797517969,7.831316825,13.77236579,34.65153531,-0.153982315,0.345201465,-1.670659735,-0.238159735,-0.070659735,0.069340265,0.309340265,5.933333333,1,6.625,1,7,1,5,0,3.5,1
11,3,366.9178886,323.738646,67,150,250,466,1949,35.02211302,17.25859542,17,17,33,50,167,3,1.047873664,1,2,3,4,5,2.694805195,1.531063632,0,2,3,4,8,290.8535436,257.3676305,26.13456695,155.9329612,226.9425873,315.1037911,2064.231473,9.866760044,7.634753428,0.444287638,4.657189258,7.309086846,12.74058937,46.92983533,0.098820785,0.411059594,-1.985659735,-0.053159735,0.154340265,0.328090265,0.749340265,2.733333333,0,1.625,0,7,1,4,0,1,0
12,3,598.8396624,649.7989451,67,200,383,766,5047,32.9,15.06059446,17,17,33,37.25,117,2.44516129,1.123202376,1,2,2,3,6,1.838709677,1.552057164,0,1,2,3,9,322.1042038,253.0314103,45.38365125,179.3603777,247.6613335,363.5248054,1583.504344,10.23271024,7.839476689,1.302611302,4.941762069,7.924352798,12.75094772,47.6808186,0.498791878,0.269121688,-0.390659735,0.336840265,0.539340265,0.694340265,0.994340265,4.866666667,1,5.125,1,6.5,1,5,0,2,0
13,3,406.7104377,354.5558275,67,183,283,516,2382,42.16788321,21.29166882,17,33,33,50,117,2.696774194,1.008883873,1,2,3,3,5,2.703225806,1.35882968,0,2,3,3.5,6,307.6571923,214.9848068,66.78572509,183.8676014,253.0918587,370.9750283,1741.595053,11.98689104,8.023545236,1.313485726,5.829996923,10.02236399,15.9727193,41.02303433,-0.613102716,0.412199156,-1.790296265,-0.917796265,-0.640296265,-0.312796265,0.424703735,4.733333333,1,5.375,1,7,1,3.666666667,0,1.5,0
14,3,501.2251908,577.0432353,67,183,333,578.75,4380,33.98427673,15.45573933,17,17,33,50,83,2.470967742,1.046389447,0,2,2,3,5,2.083870968,1.607429337,0,1,2,3,9,309.1974404,150.3890366,60.69325766,210.0094242,276.943283,379.431695,885.3534022,11.3221503,7.798919996,1.03178538,5.589487355,9.197928357,15.25892466,44.24476383,-1.430328523,0.382962011,-3.670296265,-1.580296265,-1.390296265,-1.200296265,-0.785296265,5,1,5.5,1,6,1,4.333333333,0,3,0
15,3,442.5272109,790.4057093,67,167,250,433,7445,35.25944584,15.87993756,17,17,33,50,83,2.664516129,1.239383065,1,2,3,4,5,2.612903226,2.305800413,0,1,2,4,10,270.6249612,150.4334508,41.42498949,163.3557282,238.5686015,336.9988859,1003.11212,11.1578387,8.20808164,0.704224821,5.301833763,9.090426397,13.93404241,49.30959336,-0.854715619,0.396732987,-2.345296265,-1.005296265,-0.790296265,-0.577796265,-0.260296265,4.733333333,1,5.625,1,7,1,3.333333333,0,1,0
16,3,452.804428,455.3643337,67,183,283,558,2682,36.25739645,19.1310184,17,17,33,50,117,2.44516129,1.069906753,1,2,2,3,6,2.225806452,1.539726688,0,1,2,3,7,340.3597611,241.071372,33.1329368,205.0219015,282.263134,406.294129,1785.333351,10.24989448,6.134571808,0.563259926,6.009067344,8.70943675,13.27408434,30.35066697,-0.923683361,0.548156277,-3.670296265,-1.190296265,-0.830296265,-0.515296265,-0.150296265,4.533333333,0,5.25,1,7,1,2.666666667,0,2,0
17,3,405.0160772,369.746674,67,167,266,483,2465,34.97011494,17.89167427,17,17,33,50,100,2.831168831,1.119086899,1,2,3,4,6,2.863636364,1.811611718,0,2,3,4,9,241.9563318,172.3158516,30.03158208,130.0907752,202.1042971,284.1442157,1464.667189,9.039517191,8.287502137,0.836779269,3.837951441,6.33842582,11.79858281,62.76523757,0.309656637,0.342109365,-1.243232974,0.136767026,0.329267026,0.550517026,1.056767026,4.866666667,1,5.375,1,5,0,6,1,1,0
