User Code,Unnamed: 0,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
12,2_seg06,250.786458333333,241.652450930658,67,145.75,183,270.25,1882,35.1951219512195,21.3046544829558,17,17,33,50,117,4.0327868852459,1.3658600845225,0,3,4,5,6,4.0655737704918,2.2939692853147,0,2,4,5,11,333.923913836471,222.758652394908,80.5578970545192,187.969987055772,290.893576983151,419.915878601884,1417.22520402812,14.2379093312761,11.3821645167077,1.69146132502135,5.92249291054768,10.290009219499,19.8629304646638,58.1563721333552,-0.561874819684018,0.499269137971843,-3.10949777050369,-0.70449777050369,-0.39949777050369,-0.30949777050369,0.22550222949631
12,2_seg07,249.540540540541,236.042073241145,67,133,183,278.75,1882,33.5614617940199,20.5958015913285,17,17,33,50,117,3.94366197183099,1.31895330734707,0,3,4,5,6,4.26760563380282,2.43168223064301,0,3,4,5,11,338.103296635421,221.478721701322,44.6508209072441,188.00461564239,291.879529298842,434.56700194066,1417.22520402812,14.2906550855254,11.4312926368347,0.75906395542315,5.8325352113134,10.0844302857195,19.9104319238727,58.1563721333552,-0.59837100994031,0.531067117888326,-3.10949777050369,-0.76449777050369,-0.40949777050369,-0.30949777050369,0.22550222949631
12,2_seg08,257.858299595142,237.686683501979,67,133,183,283,1882,33.3489736070381,20.4865430825415,17,17,33,50,117,3.87654320987654,1.27850221010156,0,3,4,5,6,4.23456790123457,2.3519757914266,0,3,4,5,11,343.93845692183,220.696977280273,44.6508209072441,187.981529917978,297.170625729443,448.741328208523,1417.22520402812,14.4201755187861,11.5464563321506,0.75906395542315,5.86975993983736,10.0314014714297,20.0034068764798,58.1563721333552,-0.57844838778764,0.527059481966565,-3.10949777050369,-0.80449777050369,-0.40449777050369,-0.29949777050369,0.22550222949631
12,2_seg09,266.915129151292,239.63854763164,67,150,200,300,1882,33.6684782608696,20.5224376674468,17,17,33,50,117,3.8021978021978,1.24917555229021,0,3,4,5,6,4.07692307692308,2.29603895258658,0,2.5,4,5,11,367.508548459384,250.160287758082,44.6508209072441,194.11846237779,303.70736193817,465.941818754283,1417.22520402812,14.7126979841416,11.2072806058828,0.75906395542315,6.14105646873347,10.6197980223964,20.3346242856053,58.1563721333552,-0.541530737536657,0.511461401835726,-3.10949777050369,-0.71449777050369,-0.37949777050369,-0.27449777050369,0.22550222949631
12,2_seg10,279.006896551724,278.781989870487,67,150,200,300,2632,33.8260869565217,20.4337688023855,17,17,33,50,117,3.69306930693069,1.29416053298983,0,3,4,5,6,3.91089108910891,2.31127241969003,0,2,4,5,11,366.467245955766,248.330609390405,44.6508209072441,198.324674852899,302.827303127638,460.223040419276,1417.22520402812,14.7163054141271,11.0746348632378,0.75906395542315,6.2438664726687,10.7584560293229,20.8678380140112,58.1563721333552,-0.518656186345274,0.491885184421594,-3.10949777050369,-0.62449777050369,-0.37449777050369,-0.25449777050369,0.22550222949631
12,2_seg11,288.487179487179,282.354500838552,67,150,200,316,2632,34.1177884615385,20.3972138639218,17,17,33,50,117,3.63963963963964,1.28482607802693,0,3,4,5,6,3.79279279279279,2.27283210241447,0,2,4,5,11,373.144701827253,257.079111285589,44.6508209072441,198.525579722763,307.693437676538,454.207932277505,1417.22520402812,14.7797925439323,10.7753941846614,0.75906395542315,6.52340532446752,11.127529266545,20.5828144644857,58.1563721333552,-0.505398671404591,0.47349627923958,-3.10949777050369,-0.61699777050369,-0.36949777050369,-0.25199777050369,0.22550222949631
12,2_seg12,287.405882352941,279.343847643068,67,150,200,316,2632,34.8161434977578,20.730313458923,17,17,33,50,117,3.63636363636364,1.26491106406735,0,3,4,5,6,3.73553719008264,2.22399263728294,0,2,4,5,11,366.546589147137,248.302082748648,44.6508209072441,198.324674852899,309.879453187568,443.454783037636,1417.22520402812,15.0257961666309,10.9533319823847,0.75906395542315,6.46089785099469,11.949550668562,21.1562765091969,58.1563721333552,-0.501315952321872,0.459052012303617,-3.10949777050369,-0.60949777050369,-0.36949777050369,-0.25449777050369,0.22550222949631
12,2_seg13,293.127071823204,281.244337116009,67,150,200,316,2632,34.9573560767591,20.6036646770165,17,17,33,50,117,3.58778625954198,1.2580218232645,0,3,4,4,6,3.62595419847328,2.19557554347758,0,2,3,5,11,377.125739230354,270.024744456102,44.6508209072441,198.626032157695,311.378031308065,446.282278210427,1843.87826967241,15.3168898195776,11.0557329540987,0.75906395542315,6.55465906120393,12.5910416153445,21.287736782922,58.1563721333552,-0.495222961343385,0.444795597886267,-3.10949777050369,-0.61699777050369,-0.37449777050369,-0.25199777050369,0.22550222949631
12,2_seg14,308.171957671958,319.665540659737,67,150,200,333,2632,35.0785123966942,20.4521871614558,17,17,33,50,117,3.5177304964539,1.30713884320697,0,3,4,4,6,3.47517730496454,2.22190896137176,0,2,3,5,11,386.327840583621,280.577781898367,44.6508209072441,202.137201475281,316.591978498684,452.222714380516,1843.87826967241,15.5218021336239,11.0071923441816,0.75906395542315,6.69468851811847,12.8561033117255,21.4164477497588,58.1563721333552,-0.455597061283832,0.452963689887651,-3.10949777050369,-0.52449777050369,-0.34949777050369,-0.22449777050369,0.23550222949631
12,2_seg15,314.393939393939,321.495408339574,67,150,200,333,2632,35.3359683794466,20.6257018062654,17,17,33,50,117,3.4635761589404,1.30012734984993,0,3,3,4,6,3.39072847682119,2.1999197256075,0,2,3,5,11,384.631844457989,276.098545124658,44.6508209072441,201.68860571439,316.312650448294,465.237434536864,1843.87826967241,15.5641588933706,10.9861696226802,0.75906395542315,6.70404572744325,12.770409573723,21.5053401371519,58.1563721333552,-0.42814015460965,0.453658804894469,-3.10949777050369,-0.51699777050369,-0.33949777050369,-0.20449777050369,0.23550222949631
