,FD_count,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_count,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_count,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_count,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_count,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_count,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_count,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1_seg19,463.0,326.12311015118786,272.829268016483,67.0,150.0,233.0,400.0,2182.0,648.0,34.80864197530864,20.833196061142576,17.0,17.0,33.0,50.0,167.0,191.0,3.178010471204189,1.2564520724707695,0.0,2.5,3.0,4.0,6.0,191.0,3.4607329842931938,2.0691410592475816,0.0,2.0,3.0,4.0,11.0,310.0,419.6637077401822,261.5342909759753,30.20815597044348,235.25825149388257,361.09142532687105,519.3944519276565,1571.4205608544578,310.0,16.586765362920158,12.152579100417295,0.5135386514975392,7.505021853997246,13.169767800340704,22.35741476773821,55.267099374618155,191.0,0.09619132946596856,0.8269396164392563,-3.262473592,-0.1274735920000003,0.25252640800000004,0.5950264080000001,1.5275264080000002
1_seg2,49.0,363.06122448979585,324.8170900780972,67.0,167.0,266.0,433.0,2082.0,56.0,35.785714285714285,18.85129779541527,17.0,17.0,33.0,50.0,100.0,21.0,3.095238095238096,1.445847914020071,0.0,3.0,3.0,4.0,6.0,21.0,2.7142857142857144,1.585649934344184,0.0,2.0,3.0,4.0,6.0,34.0,514.7124413845224,320.03706244109765,30.20815597044348,319.2714282075408,448.232794824392,614.105228107079,1571.4205608544578,34.0,17.805536807346076,11.291763687812624,0.5135386514975392,10.123620372743618,14.675623511418614,23.181192818257013,48.905297194428556,21.0,-0.07104502057142872,0.7825840895027557,-3.262473592,-0.03747359200000045,0.13752640799999982,0.2175264079999999,0.567526408
1_seg20,491.0,323.3686354378819,270.27654121018776,67.0,150.0,233.0,400.0,2182.0,680.0,35.13088235294118,20.89962516560337,17.0,17.0,33.0,50.0,167.0,201.0,3.199004975124378,1.253075817728171,0.0,3.0,3.0,4.0,6.0,201.0,3.45273631840796,2.054021658874214,0.0,2.0,3.0,4.0,11.0,328.0,417.261684254079,258.19912253185663,30.20815597044348,236.242952636836,357.79015472043676,518.8976093304605,1571.4205608544578,328.0,16.648171404413393,12.280923487011025,0.5135386514975392,7.4725189600602855,13.244513668226393,22.470397186777898,55.267099374618155,201.0,0.10837217914427856,0.8155886102040215,-3.262473592,-0.08247359200000037,0.26752640800000016,0.5975264080000002,1.5275264080000002
1_seg21,522.0,318.94252873563215,265.4040713080976,67.0,150.0,233.0,395.75,2182.0,736.0,34.44293478260869,20.6669608250144,17.0,17.0,33.0,50.0,167.0,211.0,3.2322274881516586,1.2490393510148752,0.0,3.0,3.0,4.0,6.0,211.0,3.5545023696682465,2.084093068423649,0.0,2.0,3.0,5.0,11.0,342.0,414.9897727224524,261.17487179827117,30.20815597044348,234.8629136019122,354.09453002022485,515.6457487880675,1571.4205608544578,342.0,16.477997703405435,12.214971449146745,0.5135386514975392,7.338215533906088,13.134960977369328,22.35741476773821,55.267099374618155,211.0,0.0927159814597156,0.8137041770203058,-3.262473592,-0.2299735920000001,0.25752640799999993,0.5975264080000002,1.5275264080000002
1_seg22,551.0,316.3303085299456,264.65834539801256,67.0,150.0,233.0,383.0,2182.0,779.0,34.365853658536594,20.56867397860632,17.0,17.0,33.0,50.0,167.0,221.0,3.248868778280543,1.2345632595349258,0.0,3.0,3.0,4.0,6.0,221.0,3.5882352941176467,2.0753197034813105,0.0,2.0,3.0,5.0,11.0,358.0,408.8120573001463,258.4463329265953,30.20815597044348,232.1121263923449,342.0080142433858,503.1216188824082,1571.4205608544578,358.0,16.30734696161973,12.169485533411635,0.5135386514975392,7.144080884723966,13.041664863976305,22.161734630993234,55.267099374618155,221.0,0.07508296908597283,0.8121085925567367,-3.262473592,-0.267473592,0.25252640800000004,0.5925264079999999,1.5275264080000002
1_seg23,579.0,315.04145077720204,269.16885081892144,67.0,150.0,233.0,383.0,2182.0,820.0,34.27682926829268,20.52617257030534,17.0,17.0,33.0,50.0,167.0,231.0,3.25974025974026,1.2343200635160203,0.0,3.0,3.0,4.0,6.0,231.0,3.6190476190476186,2.087724151439834,0.0,2.0,3.0,5.0,11.0,375.0,409.75844240776047,274.7536656690579,30.20815597044348,231.6793730695224,334.6466522193757,499.25450231929716,2375.8753576683553,375.0,16.269862026954392,12.122199275111766,0.5135386514975392,7.111865005508001,12.895395531530669,22.293503836778235,55.267099374618155,231.0,0.07995065042424239,0.8063779522311681,-3.262473592,-0.27997359199999994,0.25252640800000004,0.5975264080000002,1.5275264080000002
1_seg24,604.0,315.90231788079467,268.79308667456104,67.0,150.0,233.0,383.0,2182.0,860.0,34.11860465116279,20.3465866491636,17.0,17.0,33.0,50.0,167.0,241.0,3.2531120331950207,1.2273958984626483,0.0,3.0,3.0,4.0,6.0,241.0,3.6431535269709534,2.0869746877153523,0.0,2.0,3.0,5.0,11.0,388.0,413.75303113905784,280.614062489211,30.20815597044348,231.42506725701668,336.01960210366724,502.3554532805561,2375.8753576683553,388.0,16.308212036961006,12.19066913245878,0.5135386514975392,7.127727501952096,12.83993346675854,22.470397186777898,55.267099374618155,241.0,0.053605246174273785,0.8037200473995768,-3.262473592,-0.32747359200000004,0.23252640800000002,0.587526408,1.5275264080000002
1_seg25,628.0,317.99363057324837,268.5424833245483,67.0,150.0,233.0,387.25,2182.0,890.0,34.093258426966294,20.184672139292,17.0,17.0,33.0,50.0,167.0,251.0,3.247011952191235,1.2176785437284234,0.0,3.0,3.0,4.0,6.0,251.0,3.621513944223108,2.077540685234535,0.0,2.0,3.0,5.0,11.0,405.0,406.2249873543615,278.3694972545806,30.20815597044348,227.47916413451458,329.19061070027834,494.8882104891722,2375.8753576683553,405.0,16.004504615640528,12.095662439689796,0.5135386514975392,7.021926813662362,12.40791050661277,21.906961017088264,55.267099374618155,251.0,0.06804433628685247,0.8103390220625506,-3.262473592,-0.33747359200000004,0.23252640800000002,0.6050264080000001,1.5275264080000002
1_seg26,647.0,321.2952086553323,269.6396937020437,67.0,150.0,233.0,400.0,2182.0,915.0,34.03606557377049,20.04327402194241,17.0,17.0,33.0,50.0,167.0,261.0,3.2222222222222223,1.2138798431081528,0.0,3.0,3.0,4.0,6.0,261.0,3.5785440613026815,2.0807171902821757,0.0,2.0,3.0,5.0,11.0,419.0,399.84830179689067,276.45971529166104,30.20815597044348,221.26737810875787,326.66118605904626,485.5648503274324,2375.8753576683553,419.0,15.713978778822447,12.018816222611635,0.5135386514975392,6.788301317700058,12.197511526317149,21.72782039037341,55.267099374618155,261.0,0.07691338118007655,0.8163152481065068,-3.262473592,-0.34747359200000005,0.23252640800000002,0.6275264079999996,1.5275264080000002
1_seg27,665.0,325.3233082706767,277.94960183046413,67.0,150.0,233.0,400.0,2182.0,940.0,34.03829787234042,20.06184849254429,17.0,17.0,33.0,50.0,167.0,271.0,3.199261992619926,1.2190461547463824,0.0,2.0,3.0,4.0,6.0,271.0,3.5387453874538743,2.0739505810674768,0.0,2.0,3.0,5.0,11.0,427.0,397.12082198784964,274.76125665016673,30.20815597044348,220.31842318591046,322.4266865602533,476.6870122509446,2375.8753576683553,427.0,15.58128883568337,11.982939570700305,0.5135386514975392,6.66281814967585,11.928204214542227,21.571530135431576,55.267099374618155,271.0,0.0903492862287822,0.8106624303118362,-3.262473592,-0.32747359200000004,0.25752640799999993,0.6350264079999999,1.5275264080000002
